anal_recent	total	a1825	a2529	a3039	a4049	a5059	a6000	ptnr0	ptnr1	analpos
Lifetime	83.3 (284)	61.8 (18)	83.4 (36)	88.4 (56)	81.6 (80)	87.0 (74)	88.5 (21)	81.2 (92)	84.3 (192)	insertive
Past 30 d	26.6 (91)	22.2 (6)	22.4 (10)	30.3 (19)	35.3 (34)	20.5 (17)	16.4 (4)	10.4 (12)	34.7 (79)	insertive
Past 90 d	9.6 (33)	13.4 (4)	20.2 (9)	7.2 (5)	2.5 (2)	12.5 (11)	11.5 (3)	9.9 (11)	9.5 (22)	insertive
Past 12 mo	16.2 (55)	20.6 (6)	26.8 (11)	23.8 (15)	11.1 (11)	10.5 (9)	13.4 (3)	23.5 (27)	12.6 (29)	insertive
>1 y ago	30.8 (105)	5.7 (2)	14.0 (6)	27.1 (17)	32.8 (32)	43.6 (37)	47.2 (11)	37.4 (42)	27.6 (63)	insertive
Lifetime	90.0 (307)	63.8 (18)	98.7 (42)	97.1 (61)	92.4 (90)	88.2 (75)	83.3 (20)	85.7 (97)	92.1 (210)	receptive
Past 30 d	33.5 (114)	13.4 (4)	35.6 (15)	55.4 (35)	37.1 (36)	20.3 (17)	28.8 (7)	7.0 (8)	46.7 (106)	receptive
Past 90 d	6.4 (22)	12.7 (4)	8.7 (4)	2.4 (2)	7.1 (7)	5.7 (5)	4.2 (1)	5.8 (7)	6.7 (15)	receptive
Past 12 mo	16.7 (57)	32.0 (9)	34.4 (15)	17.4 (11)	11.5 (11)	11.3 (10)	5.2 (1)	26.3 (30)	11.9 (27)	receptive
>1 y ago	33.4 (114)	5.7 (2)	20.0 (9)	21.9 (14)	36.7 (36)	50.8 (43)	45.2 (11)	46.7 (53)	26.8 (61)	receptive
